S_INFO_WINDCODE,date,S_DQ_PRECLOSE,Open_price,High_price,Low_price,Close_price,S_DQ_CHANGE,S_DQ_PCTCHANGE,group_volume,group_turnover,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPMODE,group_time,return,y1,volume_spike,price_jump_probability,trade_continuation,relative_volatility_index,MFI,RSI,SRSI,PVI,VHF,CVI,CMO,VIDYA,UI,ACD,TS,MACD,VMACD,TMACD,QST,DDI,KVO,KVO_signal
000014.SZ,20180102,10.78,10.78,11.05,10.75,10.92,0.14,1.2987,32410.71,35415.122,57.97,57.97,59.42,57.81,58.72,5.377429,10.927,-1,11.86,9.7,8.86,1,1,,0,,,1.0,0.0,100.0,,0.0,1000.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
000014.SZ,20180103,10.92,10.95,11.04,10.84,10.97,0.05,0.4579,35417.93,38758.554,58.72,58.88,59.37,58.29,58.99,5.377429,10.9432,-1,12.01,9.83,8.9,1,1,0.0045787545787545625,1,,,1.0,0.0,100.0,,0.0,1004.5787545787546,,0.0,,,0.0,0.0,,0.006381766381767307,383.82750997151595,0.0,,,91074.67714344178,13010.668163348824
000014.SZ,20180104,10.97,10.98,11.12,10.88,11.06,0.09,0.8204,34446.0,38001.773,58.99,59.04,59.8,58.51,59.47,5.377429,11.0323,-1,12.07,9.87,8.97,1,1,0.008204193254329972,1,,,1.0,0.0,100.0,,0.0,1004.5787545787546,,0.0,,,0.0,0.0,,0.021519825326091677,479.3548604053608,0.0,,,182364.84708489722,37204.1222949986
000014.SZ,20180105,11.06,11.09,12.17,11.06,12.17,1.11,10.0362,78715.15,92546.51,59.47,59.64,65.44,59.47,65.44,5.377429,11.7571,-1,12.17,9.95,9.87,1,1,0.10036166365280286,1,,,1.0,0.0,100.0,,0.0,1105.399949658539,,0.0,,,0.0,0.0,,0.17149158289984154,6162.441076267711,0.0,,,300185.35888239543,74772.87037891243
000014.SZ,20180108,12.17,12.21,13.39,12.21,13.39,1.22,10.0247,297526.56,387001.626,65.44,65.66,72.0,65.66,72.0,5.377429,13.0073,-1,13.39,10.95,10.86,1,1,0.10024650780608058,1,,,1.0,0.0,100.0,,0.0,1216.212434340825,,0.0,,,0.0,0.0,,0.4117617452963698,37313.49726125086,0.0,,,1050287.810111733,214132.14748360106
000014.SZ,20180109,13.39,13.35,13.5,12.88,12.94,-0.45,-3.3607,212348.4,278335.773,72.0,71.79,72.6,69.26,69.58,5.377429,13.1075,-1,14.73,12.05,10.5,1,1,-0.033607169529499714,0,,,1.0,0.0,100.0,,0.0,1216.212434340825,,0.0,,,0.0,0.0,,0.48194435406519953,43909.54041373789,0.0,,,1707068.6825261833,427408.79534682713
000014.SZ,20180110,12.94,12.89,12.92,12.46,12.73,-0.21,-1.6229,141309.73,178493.993,69.58,69.32,69.48,67.0,68.45,5.377429,12.6314,-1,14.23,11.65,10.33,1,1,-0.016228748068006116,0,,,1.0,0.0,82.29923891769467,,0.0,1216.212434340825,,0.0,,,0.0,0.0,,0.4713743210030008,36473.82133976941,0.0,,,1197574.2584371837,537432.4329311638
000014.SZ,20180111,12.73,12.55,12.69,12.3,12.51,-0.22,-1.7282,111990.36,139730.395,68.45,67.49,68.24,66.14,67.27,5.377429,12.477,-1,14.0,11.46,10.15,1,1,-0.01728201099764337,0,,,1.0,0.0,72.31689346707523,,0.0,1216.212434340825,,0.0,,,0.0,0.0,,0.40839348437588663,25874.783530954788,0.0,,,726950.305393104,564506.414711441
000014.SZ,20180112,12.51,12.42,13.76,12.33,13.76,1.25,9.992,263412.74,353890.328,67.27,66.79,73.99,66.3,73.99,5.377429,13.4348,-1,13.76,11.26,11.16,1,1,0.0999200639488409,1,,,1.0,0.0,78.7571452759438,,0.0,1337.7364585555356,,0.0,,,0.0,0.0,,0.5025572512307017,36858.71651185883,0.0,,,892115.4859459472,611307.7106020848
000014.SZ,20180115,13.76,13.9,14.43,13.4,13.82,0.06,0.436,238255.89,331529.594,73.99,74.75,77.6,72.06,74.32,5.377429,13.9149,-1,15.14,12.38,11.21,1,1,0.0043604651162791885,1,,,1.0,49.9999999995725,82.5868039173591,,0.0,1337.7364585555356,,0.0,,,0.0,0.0,,0.5372485213758638,38172.88518985689,0.0,,,1450619.4200762631,731209.3833841103
000014.SZ,20180116,13.82,13.02,14.99,13.02,14.62,0.8,5.7887,218026.55,304262.069,74.32,70.01,80.61,70.01,78.62,5.377429,13.9553,-1,15.2,12.44,11.86,1,1,0.05788712011577424,1,,,1.0,49.99999999977072,85.10234374933734,,0.0,1337.7364585555356,,0.0,,,0.0,0.0,,0.6260706534472451,33899.26266994501,0.0,,,1855870.5088489475,891875.2584505156
000014.SZ,20180117,14.62,14.2,14.39,13.56,13.8,-0.82,-5.6088,145492.19,202811.897,78.62,76.36,77.38,72.92,74.21,5.377429,13.9397,-1,16.08,13.16,11.2,1,1,-0.05608755129958953,0,,,1.0,49.99999999983022,77.76083888717568,,0.0,1337.7364585555356,,0.0,,,0.0,0.0,,0.5359685857206173,19594.11959359517,0.0,,,1229329.5706386748,940083.0173345384
000014.SZ,20180118,13.8,13.81,14.01,13.6,13.9,0.1,0.7246,73373.71,101271.832,74.21,74.26,75.34,73.13,74.75,5.377429,13.8022,-1,15.18,12.42,11.28,1,1,0.007246376811594235,1,,,1.0,49.99999999985231,74.53672105923118,,0.0,1337.7364585555356,,0.0,,,0.0,0.0,,0.45464651577755144,-240.26496847094677,0.0,,,821589.1912841653,923155.3278987708
000014.SZ,20180119,13.9,13.99,14.28,13.3,13.32,-0.58,-4.1727,93964.25,129040.449,74.75,75.23,76.79,71.52,71.63,5.377429,13.7329,-1,15.29,12.51,10.81,1,1,-0.04172661870503602,0,,,1.0,49.99999999986359,70.83105381554543,,0.0,1281.9172394215636,,0.0,,,0.0,0.0,,0.2952623614661525,-10667.026006151893,0.0,,,414980.40549799404,850558.9104129457
000014.SZ,20180122,13.32,13.02,13.2,12.77,13.0,-0.32,-2.4024,57361.4,74212.281,71.63,70.01,70.98,68.67,69.91,5.377429,12.9377,-1,14.65,11.99,10.55,1,1,-0.024024024024024038,0,,,1.0,49.99999999987296,68.84036450440017,64.28571428571429,0.0,1281.9172394215636,,0.0,,,0.0,0.0,,0.12781780826336586,-21926.26759294106,0.0,,,130012.99283948191,747623.7793310224
000014.SZ,20180123,13.0,13.0,13.83,13.0,13.49,0.49,3.7692,91335.96,123012.077,69.91,69.91,74.37,69.91,72.54,5.377429,13.4681,-1,14.3,11.7,10.95,1,1,0.03769230769230769,1,,,1.0,49.99999999987973,70.21924812434762,66.69950738916256,0.0,1330.2356584459149,,0.0,,,0.0,0.0,,0.06719216610392764,-24058.918563013824,0.0,,,227200.41386858327,673277.5842649598
000014.SZ,20180124,13.49,13.17,13.45,13.16,13.26,-0.23,-1.705,56280.95,74607.115,72.54,70.82,72.33,70.77,71.3,5.377429,13.2562,-1,14.84,12.14,10.76,1,1,-0.017049666419570064,0,,,1.0,49.999999999883954,68.37558473739847,64.49603541016283,0.0,1330.2356584459149,,0.0,,,0.0,0.0,,-0.015353936134177015,-29115.178899532846,0.0,,,2761.902066478273,577489.6296651767
000014.SZ,20180125,13.26,13.02,13.02,12.5,12.61,-0.65,-4.902,93595.45,118887.353,71.3,70.01,70.01,67.22,67.81,5.377429,12.7023,-1,14.59,11.93,10.23,1,1,-0.0490196078431373,0,,,1.0,49.99999999988706,65.63480858982777,58.603790168999446,0.0,1265.0280281299385,,0.0,,,0.0,0.0,,-0.16088399788003027,-26435.577923535064,0.0,,,-296488.02174482134,452635.67946374847
000014.SZ,20180126,12.61,12.66,13.44,12.5,12.85,0.24,1.9033,78353.21,101930.066,67.81,68.08,72.27,67.22,69.1,5.377429,13.009,-1,13.87,11.35,10.43,1,1,0.019032513877874635,1,,,1.0,49.99999999989056,66.769213667618,60.05487933913633,0.0,1265.0280281299385,,0.0,,,0.0,0.0,,-0.22430013015943406,-25695.602756271895,0.0,,,-174418.37498468254,363056.5288282584
000014.SZ,20180129,12.85,12.6,13.15,12.51,12.61,-0.24,-1.8677,54546.12,69344.207,69.1,67.76,70.71,67.27,67.81,5.377429,12.7129,-1,14.14,11.57,10.23,1,1,-0.018677042801556465,0,,,1.0,49.999999999894456,65.28896415866518,57.87027035247072,0.0,1265.0280281299385,,0.0,,12.886500000000002,0.0,0.0,0.0,-0.29367819571323484,-27244.75014967604,0.0,0.20600000000000004,,-321756.31148701033,265226.1230689343
000014.SZ,20180130,12.61,12.68,13.16,12.56,12.76,0.15,1.1895,48986.31,62878.4,67.81,68.19,70.77,67.54,68.62,5.377429,12.8359,-1,13.87,11.35,10.35,1,1,0.011895321173671647,1,0.40683545682862055,,1.0,49.99999999989437,65.97021235755044,58.877140407259986,0.0,1265.0280281299385,0.44719827586206895,55.4127436594078,19.827586206896548,12.87928181444992,0.0,256.65,2.0,-0.31270904291263624,-27756.372492334984,0.0,0.203,21.12182296231378,-207622.28706901742,197676.3501920841
000014.SZ,20180131,12.76,12.61,12.88,11.6,12.15,-0.61,-4.7806,64206.55,78320.679,68.62,67.81,69.26,62.38,65.34,5.377429,12.1982,-1,14.04,11.48,9.86,1,1,-0.04780564263322884,0,0.5295955870480832,,1.0,49.999999999895124,63.96731450787616,53.29856243893203,0.0,1204.5525502961405,0.4176829268292682,60.24484441030182,12.072989603225123,12.840361436731506,0.0,258.69,0.0,-0.39547572241754336,-24875.343267293836,0.0,0.179,11.074918566775267,-299607.1003928862,126635.85725137407
000014.SZ,20180201,12.15,12.0,12.16,11.07,11.14,-1.01,-8.3128,62834.23,72526.094,65.34,64.53,65.39,59.53,59.9,5.377429,11.5424,-1,13.37,10.94,9.04,1,1,-0.08312757201646093,0,0.5121950376524823,,1.0,49.999999999899245,62.143686248737,45.595324210623964,0.0,1204.5525502961405,0.3652416356877323,62.65206671176105,0.7135187210854321,12.75881411130728,0.0,259.97,-2.0,-0.5640047826244111,-22079.99497169113,0.0,0.13200000000000003,4.334365325077407,-465265.6216660264,42078.50312031686
000014.SZ,20180202,11.14,10.99,11.3,10.3,10.81,-0.33,-2.9623,44710.25,48252.906,59.9,59.1,60.76,55.39,58.13,5.377429,10.7924,-1,12.25,10.03,8.77,1,1,-0.029622980251346465,0,0.36028822268101923,,1.0,49.999999999906024,60.126095957347765,43.38878053973568,0.0,1204.5525502961405,0.46993987975951895,53.742268521412306,-2.679078626831207,12.66849964230849,0.0,260.21,-4.0,-0.6893759659666749,-21572.6654371659,0.0,0.06900000000000003,-10.604870384917504,-587820.2640385651,-47907.035045237695
000014.SZ,20180205,10.81,10.5,10.81,10.18,10.66,-0.15,-1.3876,28861.68,30620.262,58.13,56.46,58.13,54.74,57.32,5.377429,10.6093,-1,11.89,9.73,8.65,1,1,-0.013876040703052817,0,0.2358066305528509,,1.0,49.9999999999135,54.124835507119954,42.384711777548304,0.0,1204.5525502961405,0.5398428731762066,42.7845488222191,-4.22277020275194,12.57689557955179,0.0,258.85,-6.0,-0.7565788773531461,-22186.425619229223,0.0,0.01800000000000006,-25.49999999999998,-661448.1496716077,-135555.76570614768
000014.SZ,20180206,10.66,10.37,10.64,9.59,9.61,-1.05,-9.8499,60948.94,61571.931,57.32,55.76,57.22,51.57,51.68,5.377429,10.1022,-1,11.73,9.59,7.8,1,1,-0.09849906191369617,0,0.5593580711654698,,1.0,49.99999999992161,48.083621649263414,36.089015481563294,0.0,1085.9052540662203,0.5678233438485805,42.55516838015505,-14.2454928444782,12.455740975644002,0.0,256.01,-6.0,-0.8969475536921324,-17301.816074238777,0.0,0.0005000000000000782,-36.241610738255005,-832953.503354196,-235184.01394158317
