S_INFO_WINDCODE,TRADE_DT,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPMODE
002594.SZ,20180102,65.05,65.28,66.55,64.96,65.85,0.8,1.2298,127140.77,837153.614,65.84,66.08,67.36,65.75,66.65,1.012204,65.8446,-1,71.56,58.55,65.02,1
002594.SZ,20180103,65.85,64.98,67.1,64.4,66.12,0.27,0.41,151909.5,1000075.488,66.65,65.77,67.92,65.19,66.93,1.012204,65.8336,-1,72.44,59.27,65.28,1
002594.SZ,20180104,66.12,66.0,66.36,64.91,65.05,-1.07,-1.6183,118416.97,773631.609,66.93,66.81,67.17,65.7,65.84,1.012204,65.3311,-1,72.73,59.51,64.23,1
002594.SZ,20180105,65.05,64.9,65.2,63.83,64.38,-0.67,-1.03,104870.0,673396.088,65.84,65.69,66.0,64.61,65.17,1.012204,64.2125,-1,71.56,58.55,63.56,1
002594.SZ,20180108,64.38,64.6,66.34,64.53,65.21,0.83,1.2892,136740.15,894169.179,65.17,65.39,67.15,65.32,66.01,1.012204,65.3919,-1,70.82,57.94,64.38,1
002594.SZ,20180109,65.21,65.2,66.18,64.7,65.42,0.21,0.322,94309.26,616396.032,66.01,66.0,66.99,65.49,66.22,1.012204,65.359,-1,71.73,58.69,64.59,1
002594.SZ,20180110,65.42,65.6,65.97,64.88,65.67,0.25,0.3821,94265.04,615796.957,66.22,66.4,66.78,65.67,66.47,1.012204,65.3261,-1,71.96,58.88,64.84,1
002594.SZ,20180111,65.67,65.98,65.98,64.88,65.4,-0.27,-0.4111,76298.68,498923.642,66.47,66.79,66.79,65.67,66.2,1.012204,65.3909,-1,72.24,59.1,64.57,1
002594.SZ,20180112,65.4,65.66,67.85,65.62,67.08,1.68,2.5688,195978.8,1316801.695,66.2,66.46,68.68,66.42,67.9,1.012204,67.191,-1,71.94,58.86,66.23,1
002594.SZ,20180115,67.08,67.25,68.1,64.88,65.14,-1.94,-2.8921,151890.34,1006209.959,67.9,68.07,68.93,65.67,65.93,1.012204,66.2458,-1,73.79,60.37,64.32,1
002594.SZ,20180116,65.14,64.5,65.75,64.46,64.8,-0.34,-0.522,95919.73,622943.133,65.93,65.29,66.55,65.25,65.59,1.012204,64.9442,-1,71.65,58.63,63.98,1
002594.SZ,20180117,64.8,64.68,64.68,62.51,63.75,-1.05,-1.6204,116525.06,738922.968,65.59,65.47,65.47,63.27,64.53,1.012204,63.4132,-1,71.28,58.32,62.94,1
002594.SZ,20180118,63.75,64.18,64.58,62.88,63.17,-0.58,-0.9098,73701.45,468859.834,64.53,64.96,65.37,63.65,63.94,1.012204,63.6161,-1,70.13,57.38,62.37,1
002594.SZ,20180119,63.17,63.6,63.63,62.68,63.2,0.03,0.0475,52370.08,330860.117,63.94,64.38,64.41,63.44,63.97,1.012204,63.1773,-1,69.49,56.85,62.4,1
002594.SZ,20180122,63.2,63.68,67.01,63.62,66.6,3.4,5.3797,172657.08,1134014.385,63.97,64.46,67.83,64.4,67.41,1.012204,65.6802,-1,69.52,56.88,65.76,1
002594.SZ,20180123,66.6,66.64,67.37,66.06,66.81,0.21,0.3153,123518.48,824929.033,67.41,67.45,68.19,66.87,67.63,1.012204,66.7859,-1,73.26,59.94,65.96,1
002594.SZ,20180124,66.81,67.05,67.09,65.5,66.51,-0.3,-0.449,76416.5,506242.911,67.63,67.87,67.91,66.3,67.32,1.012204,66.2479,-1,73.49,60.13,65.67,1
002594.SZ,20180125,66.51,66.52,67.47,65.56,65.64,-0.87,-1.3081,80839.89,535708.498,67.32,67.33,68.29,66.36,66.44,1.012204,66.2678,-1,73.16,59.86,64.81,1
